Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
Mauritius,1244477.0,0.02%,31 Dec 2024,National estimate[176],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,1235549.0,0.02%,1 Jul 2024,Official projection[177],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,1066809.0,0.01%,20 May 2024,2024 census result[178],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,966400.0,0.01%,31 Dec 2023,Official estimate[179],[ac],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,900869.0,0.01%,1 Jan 2025,National annual projection[180],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,870038.0,0.01%,2023,Official estimate[181],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,784043.0,0.010%,2025,National annual projection[182],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,772975.0,0.009%,1 Jul 2021,Official estimate[183],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,750325.0,0.009%,1 Jul 2024,National annual projection[184],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau (China),685900.0,0.008%,30 Jun 2025,National quarterly estimate[185],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,681973.0,0.008%,1 Jan 2025,Official estimate[186],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,623327.0,0.008%,1 Jan 2025,Official estimate[187],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,616500.0,0.008%,1 Jul 2021,Official estimate[188],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara (disputed),600904.0,0.007%,1 Jul 2025,UN projection[189],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,574250.0,0.007%,31 Dec 2024,Official estimate[190],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,515132.0,0.006%,13 Sep 2022,2022 census result[191],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,491233.0,0.006%,16 Jun 2021,2021 census result[192],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,476214.0,0.006%,31 Dec 2023,Official projection[193],[ad],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,455500.0,0.006%,1 Jul 2024,Official estimate[194],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,417634.0,0.005%,1 Jul 2025,Official estimate[195],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,398165.0,0.005%,4 Apr 2022,2022 census result[196],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,391810.0,0.005%,1 Jul 2025,National quarterly estimate[197],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,360938.0,0.004%,31 Dec 2022,Official estimate[198],[ae],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,321409.0,0.004%,1 Jul 2024,National annual projection[199],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia (France),279500.0,0.003%,31 Dec 2024,National annual projection[200],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia (France),264596.0,0.003%,1 Jan 2025,National annual projection[201],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,267800.0,0.003%,31 Dec 2022,[202],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhazia,244236.0,0.003%,1 Jan 2022,Official estimate[203],[af],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,209607.0,0.003%,2024,Preliminary census result[204],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,205557.0,0.003%,6 Nov 2021,Census 2021[205],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,184100.0,0.002%,1 Jul 2023,Official estimate[206],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao (Netherlands),155826.0,0.002%,2 Sep 2023,2023 census result[207],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam (US),153836.0,0.002%,1 Apr 2020,2020 census result[208],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,122038.0,0.001%,31 Dec 2024,Official estimate[209],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,120740.0,0.001%,1 Jul 2021,National annual projection[199],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,110872.0,0.001%,1 Jul 2022,Official estimate[210],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,109021.0,0.001%,2021,Preliminary Census results[211],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba (Netherlands),107566.0,0.001%,31 Dec 2023,Official estimate[212],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,105564.0,0.001%,2025,National annual projection[213],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,103603.0,0.001%,1 Jan 2024,National annual estimate[214],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey (UK),103267.0,0.001%,21 Mar 2021,2021 census result[215],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,100179.0,0.001%,1 Jan 2022,National annual estimate[216],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,88306.0,0.001%,31 Jul 2025,Monthly national estimate[217],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Virgin Islands (US),87146.0,0.001%,1 Apr 2020,2020 census result[218],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands (UK),84738.0,0.001%,31 Dec 2023,National annual projection[219],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man (UK),84530.0,0.001%,1 Apr 2023,Official estimate[220],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,67408.0,0.0008%,31 Dec 2017,Official estimate[221],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey (UK),64781.0,0.0008%,31 Dec 2023,National quarterly estimate[222],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda (UK),64055.0,0.0008%,1 Jul 2021,National annual projection[223],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland (Denmark),56542.0,0.0007%,1 Jan 2025,National quarterly estimate[224],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ossetia,56520.0,0.0007%,31 Dec 2021,Official estimate[225],[ag],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands (Denmark),55042.0,0.0007%,1 Jul 2025,Monthly national estimate[226],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,51320.0,0.0006%,2022,2022 census result[227],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands (UK),50894.0,0.0006%,1 Jul 2024,Official estimate[228],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa (US),49710.0,0.0006%,1 Apr 2020,2020 census result[229],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands (US),47329.0,0.0006%,1 Apr 2020,2020 census result[230],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,42418.0,0.0005%,30 Sep 2021,2021 Census[231],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Netherlands),41349.0,0.0005%,1 Jan 2024,Official estimate[232],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,40900.0,0.0005%,30 Dec 2024,National estimate[233],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands (UK),39471.0,0.0005%,1 Jul 2024,UN estimate[234],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,38423.0,0.0005%,31 Dec 2024,Census[235],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar (UK),38000.0,0.0005%,14 Nov 2022,Preliminary census results[236],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,34138.0,0.0004%,30 Jun 2025,Monthly national estimate[237],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin (France),31496.0,0.0004%,1 Jan 2025,Official estimate[238],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire (Netherlands),26552.0,0.0003%,1 Jul 2025,Official estimate,,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,16733.0,0.0002%,1 Jul 2021,2021 Census[239],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla (UK),16010.0,0.0002%,31 Dec 2024,Official estimate[240],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands (New Zealand),15040.0,0.0002%,1 Jul 2021,2021 Census[241],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,11680.0,0.0001%,30 Oct 2021,2021 Census[242],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna (France),11620.0,0.0001%,24 Jul 2023,2023 Census[243],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,10643.0,0.0001%,12 Dec 2022,2022 Census[244],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthélemy (France),10562.0,0.0001%,1 Jan 2025,Official estimate[238],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon (France),5819.0,0%,1 Jan 2025,Official estimate[238],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651.0,0%,1 Jul 2021,2021 Census[245][246][247],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat (UK),4386.0,0%,23 Sep 2023,2023 census result[248],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (UK),3662.0,0%,10 Oct 2021,2021 census result[249],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island (Australia),2188.0,0%,1 Jan 2021,2021 Census[250],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba (Netherlands),2158.0,0%,1 Jul 2025,Official estimate,,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island (Australia),1692.0,0%,1 Jan 2021,2021 Census[251],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue (New Zealand),1681.0,0%,11 Nov 2022,2022 Census[252],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokelau (New Zealand),1647.0,0%,1 Jan 2019,2019 Census[253],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,882.0,0%,31 Dec 2024,Official figure[254],[ah],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands (Australia),593.0,0%,30 Jun 2020,2021 Census[255],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn Islands (UK),35.0,0%,1 Jul 2023,Official estimate[256],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,World,113795678,2025,111326370,2024,100834796,2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,United States,30507217,2025,29184890,2024,27720700,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,China,19231705,[n 1]2025,18743803,[n 3]2024,17794782,[n 1]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Germany,4744804,2025,4659929,2024,4525704,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,India,4187017,2025,3912686,2024,3575778,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Japan,4186431,2025,4026211,2024,4204495,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,United Kingdom,3839180,2025,3643834,2024,3380855,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,France,3211292,2025,3162079,2024,3051832,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Italy,2422855,2025,2372775,2024,2300941,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Canada,2225341,2025,2241253,2024,2142471,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Brazil,2125958,2025,2179412,2024,2191132,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Russia,2076396,2025,2173836,2024,2008419,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Spain,1799511,2025,1722746,2024,1620091,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,South Korea,1790322,2025,1712793,2023,1839058,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Australia,1771681,2025,1752193,2024,1775628,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mexico,1692640,2025,1852723,2024,1793799,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Turkey,1437406,2025,1323255,2024,1118253,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Indonesia,1429743,2025,1396300,2024,1371171,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Netherlands,1272011,2025,1227544,2024,1154361,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Saudi Arabia,1083749,2025,1237530,2024,1067583,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Poland,979960,2025,914696,2024,809201,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Switzerland,947125,2025,936564,2024,894425,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Taiwan,804889,[n 4]2025,—,—,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Belgium,684864,2025,664564,2024,644783,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Argentina,683533,2025,633267,2024,646075,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Sweden,620297,2025,610118,2024,584960,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ireland,598840,2025,577389,2024,551395,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Israel,583361,2025,540380,2024,513611,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Singapore,564774,2025,547387,2024,501428,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,United Arab Emirates,548598,2025,537079,2024,514130,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Thailand,546224,2025,526411,2024,514945,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Austria,534301,2025,521642,2024,511685,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Norway,504276,2025,483727,2024,485311,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Philippines,497495,2025,461618,2024,437146,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Vietnam,490970,2025,476388,2024,429717,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bangladesh,467218,2025,450119,2024,422431,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Denmark,449940,2025,429457,2024,407092,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Malaysia,444984,2025,421972,2024,399649,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Colombia,427766,2025,418542,2024,363540,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Hong Kong,423999,[n 5]2025,407107,2024,380812,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,South Africa,410338,2025,400261,2024,377782,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Romania,403395,2025,382768,2024,350776,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Pakistan,—,—,373072,2024,299864,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Czech Republic,360244,2025,345037,2024,343208,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Egypt,347342,2025,389050,2024,331590,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Chile,343823,2025,330267,2024,335533,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Iran,341013,2025,436906,2024,401596,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Portugal,321440,2025,308683,2024,289114,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Finland,303945,2025,299836,2024,295532,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Peru,303293,2025,289222,2024,267603,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kazakhstan,300538,2025,288406,2024,264293,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Algeria,268885,2025,263620,2024,247626,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Greece,267348,2025,257145,2024,243498,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Iraq,258020,2025,279641,2024,232107,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,New Zealand,248666,2025,260236,2024,252176,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Hungary,237070,2025,222905,2024,212657,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Qatar,222776,2025,217983,2024,213003,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ukraine,205742,[n 6]2025,190741,[n 6]2024,178757,[n 6]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cuba,—,—,—,—,201986,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Nigeria,188271,2025,187760,2024,374984,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Morocco,165835,2025,154431,2024,144438,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kuwait,153101,2025,160227,2024,163705,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Slovakia,147031,2025,141776,2024,132908,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Uzbekistan,132484,2025,114965,2024,90889,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kenya,131673,2025,124499,2024,108039,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Dominican Republic,127828,2025,124282,2024,121444,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ecuador,125677,2025,124676,2024,118845,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Puerto Rico,122522,2025,125842,2024,117902,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Guatemala,121177,2025,113200,2024,104451,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ethiopia,117457,2025,163698,2023,159746,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bulgaria,117007,2025,112212,2024,102397,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Angola,113343,2025,80397,2024,90552,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Venezuela,108511,2025,—,—,139395,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Oman,104351,2025,106943,2024,105896,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Costa Rica,102591,2025,95350,2024,86498,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Sri Lanka,—,—,98963,2024,84364,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Croatia,98951,2025,92526,2024,84391,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Luxembourg,96613,2025,93197,2024,85755,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ivory Coast,94483,2025,86538,2024,78789,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Serbia,92549,2025,89084,2024,75187,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Panama,91675,2025,86260,2024,83382,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Lithuania,89192,2025,84869,2024,79790,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Turkmenistan,89054,2025,64240,2024,59887,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Ghana,88332,2025,82825,2024,76370,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Tanzania,85977,2025,78780,2024,78353,[n 7]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Uruguay,79731,2025,80962,2024,77236,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,DR Congo,79119,2025,70749,2024,69338,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Azerbaijan,78870,2025,74316,2024,72356,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Slovenia,75224,2025,72485,2024,69148,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Belarus,71561,2025,75962,2024,71857,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Myanmar,64944,2025,74080,2024,62084,2023,,,,,,,,,,,,,,,,,,,,,
